"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",13.0077220701721,13.0077220701721,12.4618357256576,13.0077220701721,11.251251834861,13.0077220701721,12.4809289827047,6.54891128694152
"2",5.92627723084168,6.88986867196976,5.92627723084164,6.88986867196976,6.78654841543148,6.88986867196976,5.80143280723489,6.6088350404544
"3",8.89372626363793,8.89372626363793,8.89372626363793,8.89372626363793,8.74416828564049,8.89372626363793,8.76106834743067,6.71179449635736
"4",12.2222146418998,12.2222146418998,12.2222146418998,12.2222146418998,11.1136499718708,12.2222146418998,13.4808843805666,6.79059973045418
"5",9.87911520406579,9.87911520406579,9.87911520406579,9.87911520406579,9.31074422330568,9.87911520406579,9.62226035647627,6.79689437251746
"6",10.143228461834,10.143228461834,10.143228461834,10.143228461834,9.29889706891902,10.143228461834,9.83686276751403,6.81073085003325
"7",9.66295790936558,9.66295790936558,9.66295790936559,9.66295790936559,8.9922890433229,9.66295790936558,8.50472392744638,6.81872034424649
"8",6.27248148102356,7.88532341336578,6.27248148102379,6.27248148102379,7.28502316964376,7.88532341336578,5.87613601637968,6.78990896257165
"9",7.09268722600632,7.09268722600632,7.09268722600631,7.09268722600631,7.55464325656078,7.39422617967168,7.39422617967168,6.75370557677259
"10",6.40788953845549,6.40788953845549,6.40788953845556,6.40788953845556,7.20243422351105,6.68345303437263,6.68345303437263,6.73228519160001
"11",3.9758323842997,3.9758323842997,3.9758323842997,3.9758323842997,5.83522504364672,3.91244206253001,3.90073979768891,6.68726226851094
"12",5.54310277927079,5.54310277927079,5.54310277927082,5.54310277927082,5.87078896931278,6.13975462328187,6.13975462328187,6.62641367450124
"13",5.90182299471423,5.90182299471423,5.90182299471421,5.90182299471421,5.55708655806714,5.14585824442031,5.48394889770212,6.55504659365612
"14",5.75380502737614,5.75380502737614,5.75380502737619,5.75380502737619,5.31253555022833,4.58910746919188,4.70505704543714,6.51267159072849
"15",3.77116148964422,5.07629659837226,3.77116148964425,3.70130335317077,5.11774310185501,3.77116148964422,3.7013033531707,6.44929330673508
"16",3.78496993314778,4.91006149894288,3.78496993314773,3.64687712659058,5.21412617280703,3.78496993314778,3.64687712659067,6.40983187371307
"17",3.98055778458406,4.85266414501668,3.98055778458407,3.81506115679596,5.34543115353575,3.98055778458406,3.81506115679591,6.36110020444813
"18",3.1952423972027,3.1952423972027,3.19524239720268,2.84844528346224,5.2421151751196,3.1952423972027,2.84844528346229,6.3101056471306
"19",3.99824437719116,3.99824437719116,3.99824437719123,3.99824437719123,5.16139169635124,3.99824437719116,3.78752421311657,6.24741952458565
"20",3.12987626436522,3.12987626436522,3.12987626436532,3.12987626436532,4.72508274781824,3.12987626436522,2.95888280211796,6.22303028689042
"21",2.70489000620813,2.70489000620813,2.70489000620818,2.70489000620818,4.39399133232179,2.70489000620813,2.49906683074804,6.16022107153316
"22",2.51377682840757,2.51377682840757,2.51377682840772,2.51377682840772,3.98395519708452,2.51377682840757,2.44053663248067,6.10409550168716
"23",2.69594033667024,2.69594033667024,2.69594033667028,2.69594033667027,4.16792547736879,2.69594033667024,2.59219903274928,6.04324047830829
"24",2.60792178691906,2.60792178691906,2.60792178691921,2.60792178691921,3.74195584176501,2.61913775441721,2.61913775441721,5.9811215716359
"25",1.94470934775648,1.94470934775648,1.94470934775657,1.94470934775657,3.19032702866317,1.94470934775647,2.07459137013642,5.91403961755167
"26",1.06056201909578,1.06056201909578,1.06056201909578,1.06056201909578,2.92475383487478,1.10231893590798,1.10231893590798,5.85449670466809
"27",1.67768685592987,1.67768685592987,1.67768685592989,1.67768685592989,3.3731527744619,1.67768685592987,1.69652429773132,5.80466537368358
"28",1.97411866367979,1.97411866367979,1.97411866367986,1.97411866367986,3.46614164238693,1.97411866367979,1.98723885907394,5.75527521317951
"29",0.595718109248775,0.595718109248775,0.595718109248834,0.595718109248837,2.70164873958749,0.595718109248775,0.579807255865596,5.71107325090678
"30",-0.181052986783042,-0.181052986783042,-0.181052986783008,-0.181052986783006,2.64517905692883,-0.364266285730921,-0.36426628573092,5.67279543994131
"31",-0.0782027781214296,-0.0782027781214296,-0.0782027781213319,-0.0782027781213372,2.78270680338,-0.0782027781214296,-0.207254298360199,5.63791192926024
