"","Date","GDP.Price.Index","Inflation.rate","SPF.t.t.1.","SPF.t.t.2.","Greenbook.t.t.1.","Greenbook.t.t.2.","X3.month.T.bill.rate","X5.year.Treasury.yield","unempl..Rate","S.P500.index"
"41",1978,37.338,7.65346507628903,5.9643,6.1553,6.3,6.1,6.29,7.86,6.3,89.21
"42",1978,37.987,6.95270234077885,5.7671,5.5458,6.2,6.2,6.73,8.36,5.9,95.53
"43",1978,38.759,8.12909679627243,6.5557,5.9659,6.7,6.2,7.85,8.43,6,102.54
"44",1978,39.47,7.33765061018081,8.5427,6.9505,7.2,7.1,9.08,9.08,6,96.11
"45",1979,40.411,9.53635672662783,7.3456,8.4444,7.4,7.2,9.48,9.2,5.8,101.59
"46",1979,41.235,8.15619509539482,7.7862,7.5485,7.7,6.9,9.06,8.85,5.7,102.91
"47",1979,42.044,7.84770219473749,8.4563,7.4645,7.6,6.8,10.26,9.41,5.9,109.32
"48",1979,42.955,8.66711064598995,9.1757,7.7566,10.7,8.6,12.04,10.42,6,107.94
"49",1980,43.895,8.7533465254336,7.7168,8.4799,9.6,9.9,15.2,13.47,6.3,102.09
"50",1980,44.903,9.18555644150807,8.803,8.4098,9.7,9.1,7.07,9.21,7.6,114.24
"51",1980,46.165,11.2420105560876,9.0598,8.9229,10,9.8,10.27,11.62,7.5,125.46
"52",1980,47.358,10.336835264811,8.6083,8.6741,10.4,10.2,15.49,13.25,7.2,135.76
"53",1981,48.197,7.08644790742854,9.9416,7.8202,10.4,9.9,13.36,13.41,7.4,136
"54",1981,49.096,7.46104529327543,9.4141,8.5277,8.7,9.2,14.73,13.95,7.5,131.21
"55",1981,49.98,7.20221606648197,8.6786,9.263,8.2,8.6,14.7,15.93,7.6,116.18
"56",1981,50.652,5.37815126050427,7.5769,9.067,9.1,8.3,10.85,13.6,8.5,122.55
"57",1982,51.278,4.94353628681985,8.1084,7.8203,7.1,7.2,12.68,13.98,9,111.96
"58",1982,52.001,5.63984554779831,6.3606,6.9883,6.9,7.3,12.47,14.43,9.6,109.61
"59",1982,52.566,4.34607026787948,4.9105,6.6863,5.5,6.1,7.92,12.25,10.1,120.42
"60",1982,53.013,3.40143819198717,6.2017,6.1812,5.2,5.7,7.94,10.22,10.8,140.64
"61",1983,53.371,2.70122422801959,5.0874,5.2459,5,4.9,8.35,10.08,10.3,152.96
"62",1983,53.929,4.18204642970901,4.7238,5.2914,3.6,4.1,8.79,10.63,10.1,168.11
"63",1983,54.32,2.90010940310408,4.3897,4.9467,3.1,3.8,9,11.43,9.2,166.07
"64",1983,54.885,4.16053019145801,4.6479,4.7835,3.1,3.2,9,11.54,8.3,164.93
"65",1984,55.37,3.53466338708204,5.1367,5.0012,4.7,3.5,9.52,12.02,7.8,159.18
